nvidia-535-183-01	org.freedesktop.Platform.GL32.nvidia-535-183-01		1.4	system
FFmpeg extension with extra codecs	org.freedesktop.Platform.ffmpeg-full		23.08	system
FFmpeg extension with extra codecs	org.freedesktop.Platform.ffmpeg-full		24.08	system
i386	org.freedesktop.Platform.ffmpeg_full.i386		24.08	system
openh264	org.freedesktop.Platform.openh264	2.1.0	2.2.0	system
openh264	org.freedesktop.Platform.openh264	2.4.1	2.4.1	system
openh264	org.freedesktop.Platform.openh264	2.5.1	2.5.1	system
Freedesktop SDK	org.freedesktop.Sdk	freedesktop-sdk-22.08.27	22.08	system
Freedesktop SDK	org.freedesktop.Sdk	freedesktop-sdk-23.08.30	23.08	system
Freedesktop SDK	org.freedesktop.Sdk	freedesktop-sdk-24.08.18	24.08	system
OpenJDK 17 SDK Extension	org.freedesktop.Sdk.Extension.openjdk17		23.08	system
OpenJDK 17 SDK Extension	org.freedesktop.Sdk.Extension.openjdk17		24.08	system
Cheese	org.gnome.Cheese	44.1	stable	system
GNOME Application Platform version 45	org.gnome.Platform		45	system
GNOME Application Platform version 46	org.gnome.Platform		46	system
GNOME Application Platform version 47	org.gnome.Platform		47	system
GNOME Application Platform version 48	org.gnome.Platform		48	system
i386	org.gnome.Platform.Compat.i386		47	system
Pika Backup	org.gnome.World.PikaBackup	0.7.4	stable	system
Godot Engine	org.godotengine.Godot	4.4.1	stable	system
Breeze GTK theme	org.gtk.Gtk3theme.Breeze	6.3.4	3.22	system
Inkscape	org.inkscape.Inkscape	1.3.2	stable	system
Jitsi Meet	org.jitsi.jitsi-meet	2025.4.0	stable	system
KDE Application Platform	org.kde.Platform		5.15-22.08	system
KDE Application Platform	org.kde.Platform		5.15-23.08	system
KDE Application Platform	org.kde.Platform		5.15-24.08	system
KDE Application Platform	org.kde.Platform		6.6	system
KDE Application Platform	org.kde.Platform		6.7	system
KDE Application Platform	org.kde.Platform		6.8	system
KDE Application Platform	org.kde.Platform		6.9	system
digiKam	org.kde.digikam	8.6.0	stable	system
Kdenlive	org.kde.kdenlive	25.04.0	stable	system
Subtitle Composer	org.kde.subtitlecomposer	0.8.1	stable	system
RetroArch	org.libretro.RetroArch	1.21.0	stable	system
LocalSend	org.localsend.localsend_app	1.17.0	stable	system
Tiled	org.mapeditor.Tiled	1.11.1	stable	system
Thunderbird	org.mozilla.Thunderbird	128.10.0esr	stable	system
Firefox	org.mozilla.firefox	138.0.1	stable	system
MyPaint	org.mypaint.MyPaint	2.0.1	stable	system
OpenRGB	org.openrgb.OpenRGB	0.9	stable	system
Remmina	org.remmina.Remmina	1.4.40	stable	system
Shotcut	org.shotcut.Shotcut	25.03.29	stable	system
Tenacity	org.tenacityaudio.Tenacity	1.3.4	stable	system
Upscayl	org.upscayl.Upscayl	2.15.0	stable	system
WezTerm	org.wezfurlong.wezterm	20240203-110809-5046fc22	stable	system
gecko	org.winehq.Wine.gecko		stable-24.08	system
mono	org.winehq.Wine.mono		stable-24.08	system
Zotero	org.zotero.Zotero	7.0.15	stable	system
Junction	re.sonny.Junction	1.9	stable	system
